Company,AS Number,IPv4,IPv6,Gbits/sec,Peering Status
"3z Canada",40028,206.108.34.81,2001:504:1a::34:81,10,Accepting
"3z Canada",40028,206.108.35.147,2001:504:1a::35:147,10,Connecting
"7L.com",13851,206.108.35.135,2001:504:1a::35:135,10,Accepting
"About Communications",21552,206.108.34.119,2001:504:1a::34:119,1,Conditional
"Access Communications",21804,206.108.35.61,2001:504:1a::35:61,20,Accepting
"Activo, Inc.",46195,206.108.34.108,2001:504:1a::34:108,1,Accepting
"Afilias Limited",12041,206.108.34.84,2001:504:1a::34:84,10,Not accepting
"Agilis Networks",11522,206.108.34.75,2001:504:1a::34:75,10,Accepting
"AirGate Technologies Inc.",394676,206.108.35.65,2001:504:1a::35:65,10,Accepting
"Akamai Technologies",20940,206.108.34.24,2001:504:1a::34:24,100,Accepting
"Alibaba Hong Kong Limited",45102,206.108.35.132,2001:504:1a::35:132,10,Accepting
"All Blue Solutions",393681,206.108.34.241,2001:504:1a::34:241,1,Accepting
"Amanah Tech Inc.",32489,206.108.35.27,2001:504:1a::35:27,20,Accepting
"Amazon.com",16509,206.108.35.36,2001:504:1a::35:36,100,Accepting
"Amazon.com",16509,206.108.35.37,2001:504:1a::35:37,100,Accepting
"ANEXIA Internetdienstleistungs GmbH",42473,206.108.35.71,2001:504:1a::35:71,10,Accepting
"Aptum Technologies (Canada) Inc.",13768,206.108.34.159,2001:504:1a::34:159,100,Conditional
"AS112 Project",112,206.108.35.22,2001:504:1a::35:22,10,Conditional
"Astute Internet",54527,206.108.35.110,2001:504:1a::35:110,10,Connecting
"AT&T Global Services Canada Co.",2685,206.108.34.74,2001:504:1a::34:74,10,Accepting
"Athena Cloud Limited",398764,206.108.35.159,2001:504:1a::35:159,10,Connecting
"Automattic",2635,206.108.35.105,2001:504:1a::35:105,20,Accepting
"Axia Connect Limited",54182,206.108.34.197,2001:504:1a::34:197,10,Accepting
"Beanfield Technologies Inc.",21949,206.108.34.31,2001:504:1a::34:31,100,Accepting
"Beanfield Technologies Inc.",21949,206.108.35.5,2001:504:1a::35:5,100,Accepting
"bluArc Communications",21552,206.108.35.142,2001:504:1a::35:142,10,Connecting
"Bluewater Regional Networks",394678,206.108.35.39,2001:504:1a::35:39,1,Accepting
"Booking.com",43996,206.108.35.122,2001:504:1a::35:122,1,Accepting
"Broad-Connect Telecom Inc.",23419,206.108.35.69,2001:504:1a::35:69,10,Accepting
"Broadridge Customer Communications Canada",36008,206.108.35.13,2001:504:1a::35:13,10,Accepting
"Broadridge Financial Solutions, Inc.",33166,206.108.35.124,2001:504:1a::35:124,10,Conditional
"BT Global Services",3300,206.108.35.114,2001:504:1a::35:114,10,Conditional
"Business Development Bank of Canada",40449,206.108.35.85,2001:504:1a::35:85,10,Conditional
"Canaca Com",33139,206.108.34.121,2001:504:1a::34:121,10,Accepting
"Canada Web Hosting",19234,206.108.34.72,2001:504:1a::34:72,10,Accepting
"Canadian Broadcasting Corporation",27324,206.108.34.36,2001:504:1a::34:36,10,Accepting
"Canadian Imperial Bank of Commerce",7741,206.108.35.149,2001:504:1a::35:149,10,Accepting
"Canadian Imperial Bank of Commerce (B)",14121,206.108.35.150,2001:504:1a::35:150,10,Accepting
"Canadian Internet Registration Authority",27299,206.108.34.49,2001:504:1a::34:49,10,Accepting
"Canadian Internet Registration Authority",27299,206.108.35.107,2001:504:1a::35:107,10,Accepting
"Canadian Internet Registration Authority (DNS)",55195,206.108.34.219,2001:504:1a::34:219,10,Accepting
"CANARIE Inc.",6509,206.108.34.151,2001:504:1a::34:151,1,Conditional
"CANARIE Inc.",6509,206.108.34.170,2001:504:1a::34:170,10,Conditional
"Carbon60 Networks",393845,206.108.34.251,2001:504:1a::34:251,10,Accepting
"ccRoute Inc",33541,206.108.34.103,2001:504:1a::34:103,10,Accepting
"CentralNIC Plc",199330,206.108.35.88,2001:504:1a::35:88,10,Conditional
"CentralNIC Plc",60890,206.108.35.89,2001:504:1a::35:89,10,Conditional
"CentriLogic Inc.",14453,206.108.34.39,2001:504:1a::34:39,10,Accepting
"China Mobile International",58453,206.108.35.53,2001:504:1a::35:53,10,Conditional
"Choopa LLC",20473,206.108.35.117,2001:504:1a::35:117,10,Accepting
"CIK Telecom Inc.",54614,206.108.34.223,2001:504:1a::34:223,20,Accepting
"Cirrus Tech Ltd.",36218,206.108.35.47,2001:504:1a::35:47,1,Accepting
"Cisco HPS",16417,206.108.35.62,2001:504:1a::35:62,10,Accepting
"Cisco Webex",13445,206.108.34.211,2001:504:1a::34:211,10,Accepting
"City Wide Communications",53913,206.108.35.92,2001:504:1a::35:92,10,Accepting
"Clearcable Networks",393990,206.108.35.19,2001:504:1a::35:19,10,Accepting
